protect_pct,n_protect,seqlen,dist,seed,L1_recon_max_abs,L1_recon_rmse,L1_recon_cosine,L1_recon_p999,L1_nan_inf,L2_K_rel_l2,L2_K_cosine,L3_logit_max_abs,L3_logit_rel_l2,L3_top1_agree,L3_top5_overlap,L4_kl,L4_jsd,L4_tvd,L5_out_rel_l2,L5_out_cosine
1,1,2048,outliers,2,0.015869140625,0.008808177895843983,0.9999623894691467,0.015625,0,0.00012272472667973489,1.0001484155654907,0.0024323463439941406,0.0001721555890981108,1.0,1.0,1.0285009466315387e-07,2.140604493661158e-08,8.94938493729569e-05,0.000169991486473009,1.0
1,1,2048,asymmetric,0,0.03125,0.010142493061721325,1.0000014305114746,0.03125,0,0.00017702701734378934,0.9999943375587463,0.003086090087890625,0.00010096460027853027,1.0,1.0,2.3780387437000172e-07,5.070106112725625e-08,0.00019473678548820317,0.0006012028898112476,0.9999998211860657
1,1,2048,asymmetric,1,0.03125,0.009681819006800652,1.0000016689300537,0.03125,0,0.00016907376993913203,0.9999816417694092,0.0029354095458984375,0.0001677169493632391,1.0,1.0,2.1213668333075475e-07,5.613418352368171e-08,0.00021155788272153586,0.0005030253087170422,0.9999998807907104
1,1,2048,asymmetric,2,0.03125,0.009774871170520782,1.0000016689300537,0.03125,0,0.00017067846783902496,0.9999843835830688,0.004790782928466797,0.00021943816682323813,1.0,1.0,4.802823809768597e-07,8.554141572858498e-08,0.00021394329087343067,0.0005900214309804142,0.9999998211860657
1,1,2048,high_dynamic_range,0,16.0,4.732889652252197,0.9999561905860901,16.0,0,0.002092965180054307,1.0000663995742798,1.5799560546875,0.0024361026007682085,1.0,1.0,0.0,0.0,1.6230119846190906e-19,0.0,1.0000001192092896
1,1,2048,high_dynamic_range,1,0.25,0.044964712113142014,0.9999726414680481,0.15625,0,1.9878072635037825e-05,1.0000687837600708,0.02227783203125,2.1173731511225924e-05,1.0,1.0,4.2700996516487066e-08,1.0626957092085831e-08,3.9992995880311355e-05,0.00011241299944231287,1.0000001192092896
1,1,2048,high_dynamic_range,2,10.0,3.121490716934204,0.9999660849571228,10.0,0,0.0013719123089686036,1.0000698566436768,0.2279052734375,0.0004115703050047159,1.0,1.0,1.9418119734382344e-07,5.4872202781552915e-08,4.098574208910577e-06,1.2517891263996717e-05,1.0000001192092896
1,1,2048,near_zero,0,1.5735626220703125e-05,8.938040082284715e-06,0.9999608993530273,1.52587890625e-05,0,0.0007872834685258567,0.9999620914459229,1.5538535080850124e-06,0.0005777912447229028,1.0,1.0,4.247755214237259e-08,1.7481549541287222e-10,2.2328822524286807e-07,8.23938876237662e-07,1.0
1,1,2048,near_zero,1,1.52587890625e-05,8.171796253009234e-06,0.999967098236084,1.52587890625e-05,0,0.0007192729972302914,0.9999587535858154,1.4330726116895676e-06,0.0006259559304453433,1.0,1.0,2.508943630630256e-08,-1.1921391651625868e-09,2.6451016310602427e-07,8.937893767324567e-07,1.0
1,1,2048,near_zero,2,1.621246337890625e-05,8.841397175274324e-06,0.999961793422699,1.5690107829868793e-05,0,0.0007794410921633244,0.9999592900276184,2.4854671210050583e-06,0.0008902739500626922,1.0,1.0,1.9627012903811192e-08,1.6000119007486546e-09,2.791130100376904e-07,1.0262791647619451e-06,0.9999999403953552
2,3,128,normal,0,0.015625,0.006969033740460873,0.9999752044677734,0.015625,0,0.0010646670125424862,1.000003457069397,0.004062294960021973,0.0011794812744483352,1.0,1.0,5.855122253706213e-07,1.4622719390899874e-07,0.00043195404578000307,0.000988864921964705,0.9999997615814209
2,3,128,normal,1,0.015625,0.007328027859330177,0.9999732375144958,0.015625,0,0.0011146727483719587,1.0000042915344238,0.004343509674072266,0.0013480465859174728,1.0,1.0,9.700049758976093e-07,2.3404965077133966e-07,0.0005585731705650687,0.001299781957641244,0.9999992847442627
2,3,128,normal,2,0.015625,0.006760033778846264,0.9999778270721436,0.015625,0,0.0010358818108215928,1.0000042915344238,0.002378314733505249,0.0008711291011422873,1.0,1.0,2.999012167492765e-07,8.202238177545951e-08,0.00034016644349321723,0.0008071732008829713,0.9999997615814209
2,3,128,heavy_tailed,0,0.03125,0.012433973141014576,0.9999611377716064,0.03125,0,0.0013232711935415864,1.0000066757202148,0.00592350959777832,0.001437687431462109,1.0,1.0,2.050074726867024e-06,5.244334033704945e-07,0.0008200539741665125,0.0015882011502981186,0.9999986886978149
2,3,128,heavy_tailed,1,0.03125,0.013620875775814056,0.9999568462371826,0.03125,0,0.001446530339308083,1.0000066757202148,0.007908821105957031,0.0017760557821020484,1.0,1.0,3.5795478652289603e-06,9.000749514598283e-07,0.0010680933482944965,0.002631902461871505,0.9999967813491821
