grid,family,family_params,T,beta,delta,sigma_logit,V,seed,cost_order,total_cost,max_accel_norm,gate_activations,per_source_costs,per_pair_costs,truth_label,hit,margin,rank,threshold_pass,alignment_pass,cell_pass,failure_reasons
primary,constant_bias,"{""alpha_mag"": 0.1}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.512789027500704e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.1}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.8355757367223526e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.2}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.6145032812452724e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.2}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.942126077641342e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.2}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.7668735746876647e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.5}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.4562079788485076e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.5}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,6.487963349758453e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 0.5}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,4.1896052457274834e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 1.0}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,5.4034080460231003e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 1.0}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,5.688413315981548e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 1.0}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,4.9604265595293973e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 2.0}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,7.17063687534666e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 2.0}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,7.153879865978253e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,constant_bias,"{""alpha_mag"": 2.0}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,5.638029863302244e-17,6,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.400627856649791e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.259419472014834e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.01}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.838866040110581e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,3.3708296056580084e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,3.7186934638860566e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.02}",0.1,200.0,0.5,3.0,1024,44,SECOND,0.0,3.6221277595792376e-17,0,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,42,SECOND,0.0,4.073546362201167e-17,2,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
primary,linear_drift,"{""drift_rate"": 0.05}",0.1,200.0,0.5,3.0,1024,43,SECOND,0.0,4.875799568240468e-17,2,"[0.0, 0.0, 0.0]","{""1,0"": 0.0, ""2,0"": 0.0, ""2,1"": 0.0}",,,,,True,,True,
